Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024, World,          22686.92,8.05503e+006,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,South Africa,          10196.96,5.01775e+006,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,France,           4326.46,574321,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Italy,           2645.45,643282,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Spain,           1310.18,516496,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Chile,           1182.54,392658,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Australia,            735.26,185602,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Argentina,            646.17,124823,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Zambia,            371.96,170122,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,New Zealand,            284.02,43980.4,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Moldova,            280.92,145094,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,United States,            176.82,32305.8,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Portugal,            113.56,34732,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,United Kingdom,            102.48,25007.6,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Germany,             73.47,29898.3,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Tanzania,             48.43,37250,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Ukraine,             38.17,16965,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Namibia,             26.36,10898.9,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Netherlands,             23.19,505.7,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,North Macedonia,             22.20,4658.5,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Israel,             15.82,3998.9,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Singapore,             11.77,580.5,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Mexico,             10.71,1362,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,United Arab Emirates,              7.21,18863.8,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Hungary,              6.87,9157.5,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Austria,              6.01,8509.51,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,India,              4.99,851.7,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,"Serbia, FR(Serbia/Montenegro)",              4.76,903.9,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Japan,              4.47,1102.08,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Romania,              2.89,459,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,China,              2.23,1046,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Armenia,              1.17,317.46,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Switzerland,              1.12,481,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Afghanistan,              0.95,360,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Jordan,              0.28,135,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Philippines,              0.25,90,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Uganda,              0.19,1.04,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Saudi Arabia,              0.17,243.4,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Uruguay,              0.12,45,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Nepal,              0.10,6.25,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Denmark,              0.09,33,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Bosnia and Herzegovina,              0.07,80,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Georgia,              0.05,16.5,Liter
Kenya,Import,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2024,Lebanon,              0.04,9,Liter
